,Property,,,Chemical compositions,,,,,,,,,,,,,,,Processing actions,,,,,,,
Number,YS(Mpa),UTS(Mpa),El(%),Al(at%),Co(at%),Cr(at%),Fe(at%),Ni(at%),Ti(at%),Ta(at%),V(at%),Mn(at%),Cu(at%),Mo(at%),C(at%),V(at%),W(at%),Nb(at%),Hom_Temp(K),CR(%),recrystalize temperature/K,recrystalize time/mins,Anneal_Temp(K),Anneal_Time(h),aging temperature/K,aging time/hours
133,207,335,40,6.96,23.26,23.26,23.26,23.26,0,0,0,0,0,0,0,0,0,0,1373,0,298,0,0,0,298,0
134,1300,1323,10,6.96,23.26,23.26,23.26,23.26,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,0,0,298,0
135,442,815,45,6.96,23.26,23.26,23.26,23.26,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,1173,0.03333,298,0
136,428,818,45,6.96,23.26,23.26,23.26,23.26,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,1173,1,298,0
137,463,868,41,6.96,23.26,23.26,23.26,23.26,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,1173,24,298,0
138,350,709,48,6.96,23.26,23.26,23.26,23.26,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,1323,0.03333,298,0
139,342,699,48,6.96,23.26,23.26,23.26,23.26,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,1323,0.33333,298,0
140,290,658,43,6.96,23.26,23.26,23.26,23.26,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,1323,1,298,0
141,204,588,69,6.96,23.26,23.26,23.26,23.26,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,1323,24,298,0
142,264,583,30.4,10.12,22.47,22.47,22.47,22.47,0,0,0,0,0,0,0,0,0,0,1523,0,298,0,0,0,298,0
143,1250,1445,2.5,10.12,22.47,22.47,22.47,22.47,0,0,0,0,0,0,0,0,0,0,1523,70,298,0,973,1,298,0
144,1060,1272,6.1,10.12,22.47,22.47,22.47,22.47,0,0,0,0,0,0,0,0,0,0,1523,70,298,0,1073,1,298,0
145,957,1164,14.8,10.12,22.47,22.47,22.47,22.47,0,0,0,0,0,0,0,0,0,0,1523,70,298,0,1073,2,298,0
146,750,959,24.5,10.12,22.47,22.47,22.47,22.47,0,0,0,0,0,0,0,0,0,0,1523,70,298,0,1173,1,298,0
147,668,922,30.2,10.12,22.47,22.47,22.47,22.47,0,0,0,0,0,0,0,0,0,0,1523,70,298,0,1273,1,298,0
148,496,822,31.5,10.12,22.47,22.47,22.47,22.47,0,0,0,0,0,0,0,0,0,0,1523,70,298,0,1373,1,298,0
149,185,428,50.8,0,19.96,19.96,19.96,19.96,0,0,0,19.96,0,0,0.2,0,0,0,0,0,298,0,0,0,298,0
150,204,474,44.6,0,19.96,19.96,19.96,19.96,0,0,0,19.96,0,0,0.2,0,0,0,1473,0,298,0,0,0,298,0
151,517,798,44.7,0,19.96,19.96,19.96,19.96,0,0,0,19.96,0,0,0.2,0,0,0,1473,60,298,0,1173,0.05,298,0
152,529,795,43.6,0,19.96,19.96,19.96,19.96,0,0,0,19.96,0,0,0.2,0,0,0,0,60,298,0,1173,0.05,298,0
153,189,435,49.6,0,19.9,19.9,19.9,19.9,0,0,0,19.9,0,0,0.5,0,0,0,0,0,298,0,0,0,298,0
154,220,506,51.3,0,19.9,19.9,19.9,19.9,0,0,0,19.9,0,0,0.5,0,0,0,1473,0,298,0,0,0,298,0
155,795,968,28.6,0,19.9,19.9,19.9,19.9,0,0,0,19.9,0,0,0.5,0,0,0,1473,60,298,0,1173,0.05,298,0
156,767,960,29.3,0,19.9,19.9,19.9,19.9,0,0,0,19.9,0,0,0.5,0,0,0,0,60,298,0,1173,0.05,298,0
157,207,464,46.7,0,19.84,19.84,19.84,19.84,0,0,0,19.84,0,0,0.8,0,0,0,0,0,298,0,0,0,298,0
158,227,525,45.5,0,19.84,19.84,19.84,19.84,0,0,0,19.84,0,0,0.8,0,0,0,1473,0,298,0,0,0,298,0
159,1060,1161,13.2,0,19.84,19.84,19.84,19.84,0,0,0,19.84,0,0,0.8,0,0,0,1473,60,298,0,1173,0.05,298,0
160,974,1092,10.8,0,19.84,19.84,19.84,19.84,0,0,0,19.84,0,0,0.8,0,0,0,0,60,298,0,1173,0.05,298,0
161,185,520,63,0,20.08,20.06,19.88,20.07,0,0,0,19.91,0,0,0,0,0,0,1473,80,298,0,1473,2,298,0
162,277,605,50,0,18.98,20.12,19.92,20,0,0,0,20.05,0,0,0.93,0,0,0,0,0,298,0,0,0,298,0
163,287,590,38,0,18.98,20.12,19.92,20,0,0,0,20.05,0,0,0.93,0,0,0,1473,0,298,0,0,0,298,0
164,344,760,46,0,18.98,20.12,19.92,20,0,0,0,20.05,0,0,0.93,0,0,0,1473,80,298,0,1473,1,298,0
165,146,488,40,0,10,10,49.5,0,0,0,0,30,0,0,0.5,0,0,0,0,0,298,0,0,0,298,0
166,238,739,56.5,0,10,10,49.5,0,0,0,0,30,0,0,0.5,0,0,0,1473,0,298,0,0,0,298,0
167,530,961,60.2,0,10,10,49.5,0,0,0,0,30,0,0,0.5,0,0,0,1473,60,298,0,1173,0.05,298,0
168,342,503,10.9,0,0,20,20,20,0,0,0,20,20,0,0,0,0,0,1273,0,298,0,0,0,298,0
169,634,839,7.6,0,0,20,20,20,0,0,0,20,20,0,0,0,0,0,1273,25,298,0,0,0,298,0
170,752,1052,6.1,0,0,20,20,20,0,0,0,20,20,0,0,0,0,0,1273,45,298,0,0,0,298,0
171,1074,1216,5.5,0,0,20,20,20,0,0,0,20,20,0,0,0,0,0,1273,65,298,0,0,0,298,0
172,1178,1302,4.3,0,0,20,20,20,0,0,0,20,20,0,0,0,0,0,1273,85,298,0,0,0,298,0
173,1160,1407,6,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1473,92,298,0,0,0,298,0
174,455,700,58,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1473,92,298,0,1073,1,298,0
175,939,975,12.3,2.44,24.39,24.39,24.39,24.39,0,0,0,0,0,0,0,0,0,0,1373,50,298,0,0,0,298,0
176,1068,1117,6.5,2.44,24.39,24.39,24.39,24.39,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,0,0,298,0
177,366,729,59,2.44,24.39,24.39,24.39,24.39,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,1073,1,298,0
178,261,618,60.4,2.44,24.39,24.39,24.39,24.39,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,1173,1,298,0
179,210,559,73.1,2.44,24.39,24.39,24.39,24.39,0,0,0,0,0,0,0,0,0,0,1373,70,298,0,1273,1,298,0
180,1072,1091,9.1,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1273,50,298,0,0,0,298,0
181,1011,1035,10.4,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1273,50,298,0,873,1,298,0
182,631,757,27,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1273,50,298,0,923,1,298,0
183,407,679,41,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1273,50,298,0,973,1,298,0
184,234,589,50.1,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1273,50,298,0,1173,1,298,0
185,250,500,52,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,0,0,298,0,0,0,298,0
186,243,558,57.7,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1273,0,298,0,0,0,298,0
187,249,621,47,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1273,80,298,0,1173,6,298,0
188,371,675,54,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1073,60,298,0,1073,4,298,0
189,262,632,36.4,0,0,18,27.334,27.333,0,0,0,27.333,0,0,0,0,0,0,1473,86,298,0,1173,1,298,0
190,394,657,51.3,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,1473,87,298,0,1073,1,298,0
